no_below,no_above,allowed_postags,custom_remove,num_topics,coherence_cv,coherence_umass,vocab_size
8,0.55,,,2,0.6638675806226021,-1.8596400580011583,214
8,0.6,,,2,0.6638675806226021,-1.8596400580011583,214
8,0.65,,,2,0.6638675806226021,-1.8596400580011583,214
8,0.7,,,2,0.6638675806226021,-1.8596400580011583,214
8,0.75,,,2,0.6638675806226021,-1.8596400580011583,214
8,0.8,,,2,0.6638675806226021,-1.8596400580011583,214
8,0.5,,,2,0.6638675806226021,-1.8596400580011583,214
2,0.4,,,2,0.5759236243031993,-1.9860043619373298,814
6,0.4,,,2,0.6356478678220612,-2.0032962965127625,287
7,0.3,,,2,0.6510328298583941,-2.0219542474879617,244
7,0.35,,,2,0.6510328298583941,-2.0219542474879617,244
3,0.55,,,2,0.5735012762295726,-2.041250490011879,582
3,0.8,,,2,0.5735012762295726,-2.041250490011879,582
3,0.75,,,2,0.5735012762295726,-2.041250490011879,582
3,0.6,,,2,0.5735012762295726,-2.041250490011879,582
3,0.65,,,2,0.5735012762295726,-2.041250490011879,582
3,0.5,,,2,0.5735012762295726,-2.041250490011879,582
3,0.7,,,2,0.5735012762295726,-2.041250490011879,582
5,0.45,,,2,0.6055210040101435,-2.0600830637366494,351
3,0.45,,,2,0.5860606588110137,-2.0988464916409795,581
7,0.45,,,2,0.6290788726231032,-2.1177475233620946,246
2,0.65,,,2,0.5579182100432969,-2.135067795548152,816
2,0.8,,,2,0.5579182100432969,-2.135067795548152,816
2,0.6,,,2,0.5579182100432969,-2.135067795548152,816
2,0.75,,,2,0.5579182100432969,-2.135067795548152,816
2,0.7,,,2,0.5579182100432969,-2.135067795548152,816
2,0.55,,,2,0.5579182100432969,-2.135067795548152,816
2,0.5,,,2,0.5579182100432969,-2.135067795548152,816
6,0.8,,,2,0.6042583620985977,-2.16554962246568,289
6,0.75,,,2,0.6042583620985977,-2.16554962246568,289
6,0.7,,,2,0.6042583620985977,-2.16554962246568,289
6,0.65,,,2,0.6042583620985977,-2.16554962246568,289
6,0.5,,,2,0.6042583620985977,-2.16554962246568,289
6,0.6,,,2,0.6042583620985977,-2.16554962246568,289
6,0.55,,,2,0.6042583620985977,-2.16554962246568,289
10,0.4,,,2,0.6111484136890343,-2.1723763376609426,161
7,0.4,,,2,0.623316899966996,-2.175701528527676,245
9,0.4,,,2,0.6207143290885332,-2.175732688582327,181
7,0.55,,,2,0.6145051275458333,-2.181868165615965,247
7,0.7,,,2,0.6145051275458333,-2.181868165615965,247
7,0.5,,,2,0.6145051275458333,-2.181868165615965,247
7,0.65,,,2,0.6145051275458333,-2.181868165615965,247
7,0.6,,,2,0.6145051275458333,-2.181868165615965,247
7,0.8,,,2,0.6145051275458333,-2.181868165615965,247
7,0.75,,,2,0.6145051275458333,-2.181868165615965,247
4,0.3,,,2,0.5916938041552862,-2.2126890385864733,445
4,0.35,,,2,0.5916938041552862,-2.2126890385864733,445
7,0.25,,,2,0.6620267493308325,-2.222905794619841,243
9,0.45,,,2,0.6239441193087072,-2.229189900535094,182
2,0.45,,,2,0.5563803917218292,-2.2316713005065454,815
3,0.4,,,2,0.6115505494179414,-2.2448112274691967,580
10,0.3,,,2,0.6014083565404444,-2.285600193073142,160
10,0.35,,,2,0.6014083565404444,-2.285600193073142,160
10,0.8,,,2,0.6311889521946838,-2.2973530018251327,163
10,0.75,,,2,0.6311889521946838,-2.2973530018251327,163
10,0.6,,,2,0.6311889521946838,-2.2973530018251327,163
10,0.65,,,2,0.6311889521946838,-2.2973530018251327,163
10,0.5,,,2,0.6311889521946838,-2.2973530018251327,163
10,0.55,,,2,0.6311889521946838,-2.2973530018251327,163
10,0.7,,,2,0.6311889521946838,-2.2973530018251327,163
2,0.25,,,3,0.5737315447731418,-2.308002031341022,812
9,0.55,,,2,0.5829478346135278,-2.3344149187237018,183
9,0.7,,,2,0.5829478346135278,-2.3344149187237018,183
9,0.75,,,2,0.5829478346135278,-2.3344149187237018,183
9,0.5,,,2,0.5829478346135278,-2.3344149187237018,183
9,0.8,,,2,0.5829478346135278,-2.3344149187237018,183
9,0.65,,,2,0.5829478346135278,-2.3344149187237018,183
9,0.6,,,2,0.5829478346135278,-2.3344149187237018,183
8,0.45,,,2,0.5911212964516119,-2.357603742420753,213
8,0.4,,,2,0.6021757077216379,-2.364528062790101,212
10,0.45,,,2,0.5928235564197294,-2.366518248470139,162
2,0.35,,,2,0.5384001486651262,-2.3694727557526076,813
2,0.3,,,2,0.5384001486651262,-2.3694727557526076,813
4,0.4,,,2,0.5779255511647317,-2.3748534414602425,446
5,0.4,,,2,0.5968666179472013,-2.3823284736953605,350
5,0.25,,,2,0.6156764563917978,-2.3828751328629374,348
9,0.35,,,2,0.5839752357963507,-2.3876736822988214,180
9,0.3,,,2,0.5839752357963507,-2.3876736822988214,180
5,0.65,,,2,0.5952677433810338,-2.387872991987523,352
5,0.6,,,2,0.5952677433810338,-2.387872991987523,352
5,0.5,,,2,0.5952677433810338,-2.387872991987523,352
5,0.55,,,2,0.5952677433810338,-2.387872991987523,352
5,0.8,,,2,0.5952677433810338,-2.387872991987523,352
5,0.75,,,2,0.5952677433810338,-2.387872991987523,352
5,0.7,,,2,0.5952677433810338,-2.387872991987523,352
4,0.45,,,2,0.585428918624546,-2.4061223615995684,447
6,0.45,,,2,0.561047035566234,-2.412104690170192,288
9,0.25,,,2,0.5983632482959775,-2.4531350924703226,179
6,0.75,,,3,0.5837722577464204,-2.522963849957818,289
6,0.7,,,3,0.5837722577464204,-2.522963849957818,289
