max_features,ngram_range,min_df,max_df,stop_words,strip_accents,lowercase,init,n_init,max_iter,n_clusters,random_state,inertia,silhouette
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,2,100,390.74197776748895,0.034018696925159395
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,3,100,379.33582069783745,0.04357943223602358
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,4,100,371.8641207486705,0.04319304191463281
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,5,100,365.6364758240144,0.04993928879001257
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,6,100,357.79385003558565,0.05147309759014795
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,7,100,354.59420194203614,0.05300845992121525
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,8,100,350.27954464716936,0.0476062359807822
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,9,100,343.917275292995,0.047761646604870395
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,10,100,339.6483605686975,0.05491551969407881
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,11,100,335.05805841279147,0.06619123133654055
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,12,100,330.92543567001536,0.04985227930899162
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,13,100,329.87304288346616,0.06018107288476265
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,14,100,329.63285787227204,0.05103337931129234
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,15,100,320.3057479379532,0.07461496195843766
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,16,100,317.9627111777704,0.06133572925302141
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,17,100,315.41137839030387,0.07147808506328297
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,18,100,313.91886233107294,0.06929433348658066
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,19,100,310.7700427051463,0.06637225421225229
100,"(1, 3)",3,0.25,english,ascii,True,k-means++,10,1000,20,100,304.10420315271045,0.04462908509569398
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,2,100,390.74197776748895,0.034018696925159395
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,3,100,379.33582069783745,0.04357943223602358
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,4,100,371.8641207486705,0.04319304191463281
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,5,100,365.6364758240144,0.04993928879001257
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,6,100,357.79385003558565,0.05147309759014795
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,7,100,354.59420194203614,0.05300845992121525
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,8,100,350.27954464716936,0.0476062359807822
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,9,100,343.917275292995,0.047761646604870395
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,10,100,339.6483605686975,0.05491551969407881
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,11,100,335.05805841279147,0.06619123133654055
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,12,100,330.92543567001536,0.04985227930899162
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,13,100,329.87304288346616,0.06018107288476265
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,14,100,329.63285787227204,0.05103337931129234
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,15,100,320.3057479379532,0.07461496195843766
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,16,100,317.9627111777704,0.06133572925302141
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,17,100,315.41137839030387,0.07147808506328297
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,18,100,313.91886233107294,0.06929433348658066
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,19,100,310.7700427051463,0.06637225421225229
100,"(1, 3)",3,0.3,english,ascii,True,k-means++,10,1000,20,100,304.10420315271045,0.04462908509569398
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,2,100,391.93224701768355,0.03314877739609
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,3,100,383.50923894010225,0.0366693860026571
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,4,100,372.1190578538448,0.04609937237193025
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,5,100,365.59773544277516,0.04994461264223891
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,6,100,359.5278747749185,0.050298945560592175
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,7,100,356.6165447890934,0.04717833045467961
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,8,100,349.6207750354809,0.05370220967373309
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,9,100,347.1967414887557,0.051616668648991726
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,10,100,339.43220409131595,0.05808871207739268
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,11,100,335.68694542702076,0.06255336759088037
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,12,100,331.6296969404105,0.060830524871990165
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,13,100,331.25733403526255,0.04421522662243878
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,14,100,321.7728362077533,0.0632127294794614
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,15,100,322.6962207999655,0.04804848038560642
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,16,100,320.84422003241434,0.06580229971349723
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,17,100,316.22340914176954,0.05509782262602404
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,18,100,313.29022956722224,0.05653318397199736
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,19,100,306.9356977993659,0.06598937374683213
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,20,100,309.0227174211242,0.059154447915244476
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,2,100,388.5617778934994,0.033443182720071976
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,3,100,378.0105651606716,0.04030542956227087
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,4,100,367.269832520108,0.04792740454755847
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,5,100,359.377076352642,0.05238478652935099
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,6,100,354.7181387610599,0.05283010005084484
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,7,100,347.98117713259745,0.058495103137105715
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,8,100,348.6104892336909,0.0415284485248569
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,9,100,339.8689473258838,0.05628775025227436
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,10,100,334.42808940490784,0.06573639744755906
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,11,100,330.7993788116609,0.062267529652053434
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,12,100,325.2059163430173,0.0667817147421339
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,13,100,325.9862907912748,0.04283750417569186
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,14,100,318.5272543689155,0.06734881091277042
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,15,100,321.1676351973795,0.04385632776859251
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,16,100,314.5362376202084,0.06844925660009853
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,17,100,308.0363869444492,0.07459080936854673
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,18,100,303.7231834355263,0.07193415204053479
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,19,100,300.4895959196498,0.07319416002465905
